1001,Espresso (Double Shot),300,20
1002,Americano (12oz),350,18
1003,"Latte (12oz, Whole Milk)",450,25
1004,"Cappuccino (8oz, Whole Milk)",425,22
1005,Flat White (8oz),475,19
1006,"Mocha (12oz, Dark Chocolate)",525,17
1007,Macchiato (Espresso with Foam),375,15
1008,"Drip Coffee (Medium Roast, 12oz)",275,30
1009,Pour Over Coffee (Single Origin),600,8
1010,Cafe Au Lait (12oz),400,16
1011,Cortado (4oz),350,11
1012,White Chocolate Mocha (12oz),550,14
1013,Caramel Macchiato (12oz),525,16
1014,"Decaf Latte (12oz, Oat Milk)",475,9
1015,"Seasonal Flavored Latte (Pumpkin Spice, 12oz)",575,10
1016,"Iced Latte (16oz, Almond Milk)",500,28
1017,Cold Brew (16oz),475,26
1018,Iced Americano (16oz),400,20
1019,"Frappuccino (Mocha, 16oz)",600,15
1020,Iced Caramel Macchiato (16oz),575,18
1021,"Iced Coffee (16oz, Black)",325,32
1022,Nitro Cold Brew (16oz),550,12
1023,Iced White Chocolate Mocha (16oz),625,13
1024,Espresso over Ice,350,10
1025,"Blended Coffee (Coffee & Cream, 16oz)",575,11
1026,"Chai Latte (12oz, Soy Milk)",450,23
1027,Hot Tea (English Breakfast),300,18
1028,"Matcha Latte (12oz, Oat Milk)",550,14
1029,"Hot Chocolate (12oz, Whipped Cream)",425,20
1030,Green Tea (Sencha),325,16
1031,Herbal Tea (Peppermint),300,17
1032,"London Fog (Earl Grey Latte, 12oz)",475,12
1033,"Golden Milk Latte (Turmeric, 12oz)",500,9
1034,"Steamer (Vanilla, 12oz)",375,13
1035,Earl Grey Tea (Loose Leaf),350,10
1036,"Iced Tea (Black, Sweetened, 16oz)",350,29
1037,Iced Chai Latte (16oz),500,21
1038,Iced Matcha Latte (16oz),600,16
1039,"Lemonade (Freshly Squeezed, 16oz)",400,18
1040,"Iced Green Tea (Unsweetened, 16oz)",350,25
1041,"Strawberry Smoothie (Dairy-Free, 16oz)",650,10
1042,Mango Smoothie (16oz),650,9
1043,Bottled Water (Still),200,35
1044,Sparkling Water (Plain),250,20
1045,Orange Juice (Bottled),300,15
1046,Apple Juice (Bottled),300,14
1047,"Milk (Whole, 12oz serving)",250,10
1048,"Milk (Skim, 12oz serving)",250,9
1049,Oat Milk (12oz serving for add-on),100,40
1050,Almond Milk (12oz serving for add-on),100,38
